date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:08	79514/79514	---MCZ	200	added ('OK')	text/html	etag:W/%2255de91785a75e6a5f82cdbe64fe16137%22	https://skyone.vercel.app/education/en/index.html	C:/My%20Web%20Sites/library/skyone.vercel.app/education/en/index.html	(from )
02:04:10	1472/1472	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2022:09:09%20GMT	https://skyone.vercel.app/robots.txt		(from )
02:04:11	6051/6051	---M--	200	added ('OK')	image/png	etag:%223da8b771a7a82e790382a30ca8897d56%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-57x57.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:11	6438/6438	---M--	200	added ('OK')	image/png	etag:%22efc59cdd4addc9c6ccfad55bd55c54d6%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-60x60.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:12	8239/8239	---M--	200	added ('OK')	image/png	etag:%22abda385bb9d81048b399a61785c787c1%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-72x72.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:12	8783/8783	---M--	200	added ('OK')	image/png	etag:%22127cc8d060c999478dd86d51ea375895%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-76x76.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:13	15159/15159	---M--	200	added ('OK')	image/png	etag:%22c401b7127a9393bec6eff10f705cd9aa%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-114x114.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:13	16499/16499	---M--	200	added ('OK')	image/png	etag:%22aca0da3682dbfe945ad2f6efbd5a1275%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-120x120.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:14	21799/21799	---M--	200	added ('OK')	image/png	etag:%2213dfcc3e671575e1074703e8cdee4b0e%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-144x144.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:14	23194/23194	---M--	200	added ('OK')	image/png	etag:%22f7a6e8ad7b5248ed01f32e5a39311a6e%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-152x152.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:15	30045/30045	---M--	200	added ('OK')	image/png	etag:%22da9d0841356bde7d09d5772fedb0c366%22	https://skyone.vercel.app/education/assets/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/apple-icon-180x180.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:15	31284/31284	---M--	200	added ('OK')	image/png	etag:%22869fa97587beb08065475164e1e3b505%22	https://skyone.vercel.app/education/assets/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/android-icon-192x192.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:16	2964/2964	---M--	200	added ('OK')	image/png	etag:%227f1f2989a1d84c3d64bf293506a7b9d5%22	https://skyone.vercel.app/education/assets/favicons/favicon-32x32.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/favicon-32x32.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:16	1990/1990	---M--	200	added ('OK')	image/png	etag:%22b6b06d9b1cf13f1e1b8b435ef7f23361%22	https://skyone.vercel.app/education/assets/favicons/favicon-16x16.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/favicon-16x16.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:17	21799/21799	---M--	200	added ('OK')	image/png	etag:%2213dfcc3e671575e1074703e8cdee4b0e%22	https://skyone.vercel.app/education/assets/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/favicons/ms-icon-144x144.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:18	4518/4518	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2019%20Dec%202023%2022:09:17%20GMT	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/library/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.e.delayed	(from https://skyone.vercel.app/education/en/index.html)
02:04:18	22505/22505	---M--	200	added ('OK')	image/png	etag:%2275361826e64aeaed2fed2be809785301%22	https://skyone.vercel.app/education/assets/images/logo-education.png	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/logo-education.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:19	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2022:09:19%20GMT	https://skyone.vercel.app/images/logo-education.png	C:/My%20Web%20Sites/library/skyone.vercel.app/images/logo-education.png	(from https://skyone.vercel.app/education/en/index.html)
02:04:20	46696/46696	---M--	200	added ('OK')	image/gif	etag:%22fd691919219c752e6fc375e771a01f8e%22	https://skyone.vercel.app/education/assets/images/loading.gif	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/loading.gif	(from https://skyone.vercel.app/education/en/index.html)
02:04:20	714996/714996	---MCZ	200	added ('OK')	text/css	etag:W/%2250ecdeff700bd4dfae4aae931c655851%22	https://skyone.vercel.app/education/assets/css/education-bundle.min.css	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/css/education-bundle.min.css	(from https://skyone.vercel.app/education/en/index.html)
02:04:21	8865/8865	---M--	200	added ('OK')	image/jpeg	etag:%229ab6ed253e90df5e1349e33c9afe6be3%22	https://skyone.vercel.app/education/assets/images/showcase/header_default.jpg	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/showcase/header_default.jpg	(from https://skyone.vercel.app/education/en/index.html)
02:04:21	7155/7155	---M--	200	added ('OK')	image/jpeg	etag:%229e7a109db705d5ce5c3e245c678b69b9%22	https://skyone.vercel.app/education/assets/images/showcase/header_basic.jpg	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/showcase/header_basic.jpg	(from https://skyone.vercel.app/education/en/index.html)
02:04:21	9981/9981	---M--	200	added ('OK')	image/jpeg	etag:%22458d6c785c174956354f200f32964dc0%22	https://skyone.vercel.app/education/assets/images/showcase/header_search.jpg	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/showcase/header_search.jpg	(from https://skyone.vercel.app/education/en/index.html)
02:04:21	8694/8694	---M--	200	added ('OK')	image/jpeg	etag:%226cf2a9657a99f667450154f8aacbe569%22	https://skyone.vercel.app/education/assets/images/showcase/header_nav.jpg	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/showcase/header_nav.jpg	(from https://skyone.vercel.app/education/en/index.html)
02:04:22	21037/21037	---M--	200	added ('OK')	image/jpeg	etag:%22b265582b8f856bed98091db399a2799c%22	https://skyone.vercel.app/education/assets/images/showcase/header_droplist.jpg	C:/My%20Web%20Sites/library/skyone.vercel.app/education/assets/images/showcase/header_droplist.jpg	(from https://skyone.vercel.app/education/en/index.html)
